VAE-izx,CVAE-izx,lambda=0.8 (izx),lambda=0.2 (izx),VAE-izy,CVAE-izy,lambda=0.8 (izy),lambda=0.2 (izy)
12.32571121,14.61704793,152.6425531,152.6451067,0.09167439,0.347921236,2.540228825,2.53465282
9.050800729,7.428778682,58.18935235,58.19913386,0.643941798,1.693912075,2.924288638,2.934710728
8.352799506,6.728972969,48.04212909,48.02896977,0.857075983,2.236599995,3.018754366,3.010143107
8.172364266,6.480119126,41.33894121,41.3429659,0.995047693,2.43904195,3.087764123,3.084283816
8.182949421,6.366805565,37.43650968,37.46127997,1.086199087,2.536528634,3.115654369,3.112896518
8.208634636,6.316882918,34.85001298,34.8456087,1.159352024,2.60128437,3.123137842,3.140763832
8.287887056,6.311595621,32.35527095,32.34787481,1.221259397,2.641483455,3.158570123,3.172393941
8.306610034,6.293665557,30.73773671,30.75176316,1.2724709,2.675802851,3.186388679,3.181580304
8.36018084,6.297666166,29.51147419,29.51867282,1.32569674,2.698609217,3.208772552,3.196392934
8.421386981,6.32025243,28.32101142,28.31648365,1.346906748,2.718140996,3.231889399,3.216240534
8.457667656,6.33536571,27.3412388,27.35093039,1.382750642,2.732433237,3.204450044,3.220593891
8.50352195,6.344507711,26.62624489,26.62435582,1.407743275,2.741737683,3.2245437,3.225250881
8.556382828,6.36670279,25.31935374,25.31465094,1.434583277,2.753922701,3.238722936,3.23953993
8.576379805,6.382090924,24.62809095,24.6235706,1.462447079,2.763605921,3.24244903,3.247847042
8.586257129,6.367674506,23.76396842,23.76324114,1.485201378,2.773498626,3.259323494,3.248755343
8.635873852,6.410233192,23.25357915,23.26713344,1.510319197,2.781610985,3.254369529,3.259131062
8.651820383,6.435045812,22.33516234,22.32064365,1.523887213,2.786923059,3.287877711,3.265636963
8.673025718,6.469575691,21.95460526,21.9512472,1.541714835,2.79195206,3.272152977,3.266718609
8.701136746,6.460362291,21.16378773,21.18374809,1.551746073,2.800135459,3.287108155,3.274342369
8.737114034,6.477503746,20.73115814,20.73992877,1.562763655,2.802971263,3.291250127,3.276727419
8.761125569,6.487605436,20.66155034,20.66701704,1.582017326,2.81138467,3.275023642,3.273539089
8.777127151,6.498124661,20.03085949,20.02126738,1.593498206,2.814246027,3.279783308,3.281022947
8.771296749,6.530056283,19.40805045,19.40969576,1.597503541,2.820020406,3.292169103,3.282080654
8.817421746,6.537787623,19.37731244,19.3878731,1.617421465,2.821199739,3.270196654,3.282820905
8.827813702,6.553089168,18.60740911,18.60101386,1.62222725,2.825983014,3.297172858,3.288064258
8.859739652,6.583461823,18.30258138,18.29048576,1.63925832,2.83097247,3.273585305,3.289223062
8.86435873,6.588841696,17.93807158,17.9501198,1.638246237,2.831146984,3.279209051,3.290437095
8.9036443,6.594581368,17.71093975,17.70663274,1.652087054,2.837613199,3.27805714,3.289921234
8.915179658,6.613058481,17.10716502,17.09468974,1.654802614,2.838767074,3.313609158,3.295399238
8.929603548,6.631144643,17.0906933,17.09720078,1.666300372,2.839672964,3.314522204,3.293132148
