λ=0.8a,λ=0.2a,λ=0.8,λ=0.2
154.4927631,152.6451067,2.394926036,2.53465282
60.21304756,58.19913386,2.7849575,2.934710728
49.97104836,48.02896977,2.865587284,3.010143107
43.48140696,41.3429659,2.936541338,3.084283816
39.51612678,37.46127997,2.982226246,3.112896518
36.78008244,34.8456087,2.983232987,3.140763832
34.28238397,32.34787481,3.029468987,3.172393941
32.65024069,30.75176316,3.033127613,3.181580304
31.51424878,29.51867282,3.030584449,3.196392934
30.37822461,28.31648365,3.08290216,3.216240534
29.34263758,27.35093039,3.05061661,3.220593891
28.7491422,26.62435582,3.083794838,3.225250881
27.28769452,25.31465094,3.104951368,3.23953993
26.63942786,24.6235706,3.104383263,3.247847042
25.83705925,23.76324114,3.098045975,3.248755343
25.3350011,23.26713344,3.110696171,3.259131062
24.27048573,22.32064365,3.112362425,3.265636963
24.21535416,21.9512472,3.113850807,3.266718609
23.19191012,21.18374809,3.108001505,3.274342369
22.75794146,20.73992877,3.117958812,3.276727419
22.50511542,20.66701704,3.150307364,3.273539089
22.12252747,20.02126738,3.136688941,3.281022947
21.35820655,19.40969576,3.130775614,3.282080654
21.36483508,19.3878731,3.117130515,3.282820905
20.64905706,18.60101386,3.137048318,3.288064258
20.39925237,18.29048576,3.13958627,3.289223062
20.0246704,17.9501198,3.146328279,3.290437095
19.68490264,17.70663274,3.130443795,3.289921234
19.01638861,17.09468974,3.144296287,3.295399238
19.15042117,17.09720078,3.13801539,3.293132148
18.7768212,16.63327003,3.122199416,3.29684399
18.21693366,16.34993391,3.137814606,3.296586196
18.43500258,16.32243476,3.149114989,3.295608673
17.73169469,15.84172334,3.162845399,3.299564596
17.61591952,15.70102573,3.146817825,3.299712591
17.4831471,15.48179753,3.137083245,3.299122012
17.1674032,15.08621344,3.14404606,3.301432928
16.79714366,14.78517709,3.148129716,3.302836925
16.71923878,14.69206236,3.138019518,3.301752853
16.3050245,14.28886147,3.135250243,3.304068515
16.35463257,14.51496116,3.163767119,3.301556063
16.26573124,14.25186421,3.156667393,3.303369231
15.68054064,13.76297542,3.157926795,3.305750508
16.06763874,13.92405551,3.171695883,3.303352549
15.63222042,13.58577246,3.169312518,3.304812324
15.3779536,13.31516943,3.159390247,3.305942873
15.27339963,13.16191022,3.160760553,3.306727976
15.05436791,13.06398967,3.156022777,3.306199669
15.12289733,13.03012257,3.151530984,3.306041884
14.90117337,12.80775859,3.151413516,3.30710757
14.82924635,12.81849767,3.151248757,3.306991373
14.68030824,12.66020209,3.185450365,3.306675284
14.942108,12.81017206,3.1557577,3.305581198
14.52575274,12.5193551,3.161826212,3.306820258
13.9245424,11.99865365,3.15357927,3.309645624
14.09182598,12.09287547,3.155889599,3.308487184
13.85093183,11.64007741,3.167329445,3.310247931
13.71130691,11.71008194,3.160578483,3.309754795
13.84574748,11.78697073,3.156775231,3.30859956
13.62723739,11.67687135,3.157640233,3.308017973
13.29410438,11.35058271,3.157857702,3.311478684
13.23511118,11.36317169,3.147397013,3.310741304
13.41993273,11.41347907,3.16956397,3.309170245
13.11007089,11.17085871,3.165202843,3.310414733
12.94440003,11.04366935,3.18514538,3.311049647
13.05330102,11.20176994,3.160389901,3.309759598
13.16288153,10.89257767,3.17768219,3.31162593
12.92175151,11.01246669,3.163621766,3.310263966
12.54043206,10.53923919,3.156841902,3.312136295
12.76623353,10.73095344,3.182620894,3.311062392
12.85674601,10.80530758,3.173945081,3.311015846
12.49532362,10.48579812,3.169063455,3.311772562
12.44271038,10.52327684,3.146011571,3.311586323
12.46822172,10.30974802,3.154561767,3.312129875
12.34395783,10.27686538,3.167979596,3.312507316
11.96825945,10.10796195,3.171565803,3.312977006
11.88517423,10.07284538,3.167163635,3.312145237
11.9753042,10.02133411,3.171135201,3.312524132
11.91571404,9.994565678,3.141327157,3.312252258
12.08576145,10.1501899,3.156782445,3.31199131
11.75925849,9.840911774,3.16016973,3.312707981
11.70639566,9.869451527,3.158672204,3.312928655
11.66827755,9.787597774,3.160614685,3.313650769
11.75570896,9.792812093,3.154309182,3.313164865
11.74517211,9.628675674,3.162475451,3.313211784
11.65728129,9.710287744,3.170786252,3.313064332
11.45472228,9.687170192,3.166206484,3.31295243
11.51773184,9.456995896,3.178911016,3.313937677
11.38972697,9.584502756,3.15714586,3.312181072
11.60939955,9.467090757,3.162692572,3.313208237
11.44799561,9.384269347,3.165973235,3.313239688
11.34866754,9.525743698,3.161864199,3.312706513
11.21316482,9.321380992,3.173051798,3.314184892
11.22041346,9.21480276,3.153016346,3.313474163
11.13977001,9.101561846,3.158861405,3.314723427
10.9726487,9.01698969,3.179866023,3.314721786
11.26513694,9.306471284,3.177790581,3.313409944
10.92151089,8.998207655,3.161367252,3.314763889
11.00576543,8.999296061,3.169261235,3.314091549
10.84115819,8.890469769,3.165896673,3.315030094
10.87495212,8.944868142,3.165137617,3.314564908
11.06077013,9.031331389,3.1607065,3.31398703
10.76885931,9.020614974,3.160105775,3.31446866
10.81463227,8.811921501,3.158364338,3.314401438
10.70427769,8.717284516,3.167981421,3.315202842
10.85843207,8.856148688,3.167525089,3.313705786
10.65921463,8.667980621,3.149568744,3.315116812
10.74121301,8.704880342,3.161054526,3.314292938
10.70791213,8.670513575,3.154984153,3.314758384
10.63984119,8.581718327,3.172829353,3.315441566
10.57059446,8.590903173,3.181831707,3.314638287
10.63062895,8.558694063,3.167995146,3.314693395
10.47746797,8.464284207,3.160424898,3.315385909
10.44362402,8.490384792,3.181767632,3.314583385
10.56681568,8.454338165,3.168963977,3.315134515
10.36509881,8.385467398,3.157574673,3.315637197
10.39722151,8.348637286,3.157623732,3.315238129
10.60671465,8.43279686,3.15488556,3.314854658
10.15179345,8.248801022,3.162604425,3.315543778
10.18552576,8.284034793,3.178009885,3.315471134
9.992375422,8.182034758,3.16453273,3.316014044
10.51294605,8.36771307,3.157370193,3.314785457
10.19958875,8.221975858,3.155560369,3.315505602
10.24342235,8.248420988,3.16477138,3.315187358
10.05597019,8.096120507,3.170038045,3.3158385
10.1396988,8.059705925,3.172458831,3.31587658
10.00717863,8.151535897,3.164447265,3.31497421
10.22126838,8.158257555,3.174066905,3.316022961
10.20124901,8.17051848,3.174423002,3.31524935
10.1043978,8.084066657,3.177944204,3.315723493
9.900311418,8.067428802,3.165320642,3.315566814
10.17601164,8.128863419,3.160802464,3.315852891
10.38311474,8.166790197,3.15855612,3.315109435
10.04508321,8.022623916,3.165636112,3.315895852
9.846886235,7.920351496,3.160259715,3.316412352
9.974221951,7.832751619,3.184374191,3.316239315
9.814010013,7.859049491,3.157997792,3.315267397
9.722217208,7.833292575,3.155273535,3.315982804
9.840083669,7.93395408,3.1703014,3.315656799
9.900917485,7.878518529,3.179146408,3.315945315
9.711243173,7.840127405,3.19280006,3.316105679
9.622389251,7.71590216,3.170079591,3.316127105
9.683413796,7.784942906,3.165402351,3.315902668
9.940149725,7.768609272,3.181710168,3.316292602
9.626523566,7.70049458,3.191608784,3.316292487
9.901657505,7.780133622,3.179851211,3.316150825
9.689957247,7.667738106,3.159625924,3.316297343
9.789378523,7.765667107,3.175750125,3.316257967
9.502201977,7.729592099,3.159888752,3.31567696
9.831068318,7.738197084,3.158343632,3.316041797
9.767813322,7.74797371,3.17773264,3.315869714
9.70424138,7.684501505,3.170589492,3.316439388
9.556845903,7.638858336,3.161173932,3.31606994
9.521160059,7.536670907,3.170353775,3.31652962
9.608858883,7.671924153,3.164700287,3.316037384
9.621970754,7.525093376,3.166498121,3.316478747
9.547129093,7.563619166,3.167244687,3.316473078
9.65431385,7.462706936,3.164208632,3.316802483
9.532283656,7.564251834,3.159790636,3.316062212
9.528669083,7.540491054,3.169896814,3.316723439
